house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
2;26060;229403;97169;83044D200
11;21134;233048;94115;83031E29-
45;21090;236581;97374;83031A052
8;11294;223725;115904;83012C20-
25;11247;231008;116690;83012E064
17;15452;232084;119044;83012H001
1;11226;226239;117671;83012C100
41;15452;231865;119014;83012H001
44;11276;226792;114345;83012B112
19;11237;230284;116259;83012E001
3;11243;230022;116046;83012E001
3;15460;234866;115755;83012L00-
37;15460;234598;115677;83012L00-
52;13769;224714;94703;83040H022
1;7005;216202;96538;83034E02-
9;21180;235193;98879;83031A20-
18;21173;236180;97877;83031A021
6;6791;219541;102455;83034A00-
2;6802;217350;98568;83034B222
3;21105;236392;96791;83031A011
4;15455;223679;119233;83012F00-
44;11172;229130;115478;83012E043
46;11172;229118;115448;83012E043
186;24583;226379;108451;83028A300
70;6823;217839;99433;83034B201
84;6823;217774;99324;83034B201
88;6823;217738;99247;83034B201
17;6819;219808;101721;83034A02-
32;7054;215482;95938;83034E00-
4;7052;217501;99448;83034B201
6;7052;217510;99464;83034B201
2;7053;215808;96185;83034E00-
6;7051;219597;100560;83034B00-
11;7068;219407;102409;83034A04-
1;7100;219667;102273;83034A00-
11;7100;219696;102263;83034A00-
15;7100;219707;102259;83034A00-
25;7100;219727;102250;83034A00-
18;6894;219288;102316;83034A04-
1;15487;236115;117522;83012K000
133;6821;220336;102529;83034A010
8;6799;219739;102083;83034A02-
10;6794;219448;101886;83034A03-
19;6794;219407;101954;83034A03-
4;6982;219576;103074;83034A05-
8;6982;219482;103077;83034A05-
14;6980;219765;102464;83034A00-
23;6980;219759;102441;83034A00-
23;6821;219907;102353;83034A010
27;6821;219955;102395;83034A010
29;6821;219967;102403;83034A010
50;6821;219932;102398;83034A010
20;7048;219658;102222;83034A00-
3;7048;219646;102259;83034A00-
2;6863;219693;101748;83034A02-
4;6863;219697;101759;83034A02-
6;6863;219699;101772;83034A02-
1;6985;219404;101745;83034A03-
16;6981;219020;100941;83034B012
63;24615;226658;106712;83028A00-
64;24615;226539;106629;83028A00-
2;24617;226929;106960;83028A010
4;21159;236307;97240;83031A011
13;6891;226027;98439;83034G10-
3;6884;217611;99516;83034B201
24;6879;219553;102429;83034A00-
2;21132;236205;97254;83031A011
5;6971;217575;98928;83034B222
5;7063;219557;102286;83034A00-
1;7137;216123;96574;83034E02-
10;7137;216266;96629;83034E02-
11;7137;216260;96659;83034E02-
2;7137;216167;96560;83034E02-
3;7137;216146;96588;83034E02-
4;7137;216190;96574;83034E02-
5;7137;216178;96613;83034E02-
22;6798;218175;102395;83034C01-
44;13758;224735;95551;83040H00-
15;17780;215241;90054;83040F09-
17;17780;215210;90090;83040F09-
13;6914;217533;99975;83034B201
1;6909;217506;99014;83034B201
37;17825;217865;93333;83040C00-
11;16136;242022;117202;83055B010
1;16145;244670;110932;83055C000
8;14058;219591;90081;83040A09-
1;19919;232432;87308;83049A020
6;7137;216216;96592;83034E02-
7;7137;216192;96636;83034E02-
8;7137;216229;96615;83034E02-
9;7137;216217;96656;83034E02-
3;21156;236205;97607;83031A00-
12;20279;236334;89070;83049C20-
1;6954;219662;102175;83034A00-
26;6954;219646;102105;83034A00-
4;6954;219679;102161;83034A00-
18;6949;219639;102260;83034A00-
8;6949;219595;102264;83034A00-
10;7112;219849;102016;83034A02-
17;7112;219784;101982;83034A02-
7;29160;234666;109442;83013A09-
8;16170;240688;107577;83055A20-
17;16163;245232;111288;83055C0PN
6;29144;233736;108566;83013B10-
44;15412;228131;118959;83012D09-
5;19917;232995;87741;83049A00-
5;11252;229974;116051;83012E001
53;11252;229931;115778;83012E032
26;15422;231906;118647;83012H022
19;11202;228022;115768;83012A09-
18;11223;226877;116145;83012A022
37;7100;219761;102244;83034A00-
4;29167;237205;110161;83013A120
9;29167;237278;110151;83013A120
1;24555;226345;108451;83028A300
4;21172;236276;98231;83031A021
11;21109;236173;97498;83031A00-
23;21109;236183;97534;83031A00-
2;7112;219814;102120;83034A02-
12;11159;227446;116295;83012A001
94;11252;229738;115674;83012E043
25;11183;229119;117020;83012E19-
8;25986;231239;102609;83044A000
3;6894;219388;102319;83034A04-
2;6888;219649;101922;83034A03-
196;19422;229403;89036;83049B010
215;19422;229850;89078;83049B010
243;19422;229651;89035;83049B010
34;6800;219557;102372;83034A00-
5;14056;219611;91303;83040A001
7;14056;219622;91300;83040A001
80;6803;219602;103323;83034A05-
97;6803;219662;103596;83034A05-
9;7100;219689;102263;83034A00-
1;7095;219509;102249;83034A00-
13;7095;219509;102195;83034A00-
5;7095;219489;102226;83034A00-
151;6781;218431;100314;83034A11-
167;6781;218355;100202;83034A11-
11;11233;230295;116060;83012E001
7;7006;219073;101785;83034A10-
86;6915;215052;95737;83034E01-
20;6932;219561;102344;83034A00-
2;21161;236217;97215;83031A011
20;6794;219410;101849;83034A03-
21;6794;219378;101976;83034A03-
23;6794;219368;101923;83034A03-
4;6792;218808;102383;83034A04-
16;16192;241758;116394;83055B00-
19;14080;221234;98245;83040D112
32;14080;221159;97944;83040D112
22;17798;215379;89460;83040F00-
86;6824;215739;101493;83034C00-
23;6800;219551;102341;83034A00-
26;6800;219539;102356;83034A00-
1;21152;236232;97321;83031A011
1;7031;219760;102241;83034A00-
22;15407;228799;121724;83012D40-
2;15410;237496;117645;83012K19-
33;15410;238194;117611;83012K10-
4;11254;230611;115876;83012E032
31;15505;235016;115717;83012L00-
23;7112;219759;101931;83034A02-
26;7112;219764;101895;83034A02-
28;7112;219757;101885;83034A02-
29;7112;219745;101911;83034A02-
40;7112;219722;101838;83034A02-
1;11148;229768;116110;83012E001
12;11148;229582;116000;83012E043
57;21495;242760;96816;83031B201
64;21495;242513;97140;83031B201
4;24553;226229;108186;83028A300
26;29094;229823;111199;83013C491
3;29095;230567;107935;83013C09-
85;24647;229237;105390;83028B000
1;24645;225092;109783;83028D00-
20;29100;235648;108625;83013A200
76;22784;240835;90158;83031C212
