house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
4;93179;56996;192066;32011A052
5;93115;54074;190728;32011B01-
45;89216;47224;191663;32003A19-
81;89269;44550;191245;32003A021
38;108356;51476;195711;32010B00-
15;101305;51072;186957;32006A022
2;93052;50972;190001;32011D091
33;89368;48113;191104;32003A19-
1;93125;53889;189370;32011B082
54;93120;51340;190356;32011D00-
70;101329;49177;186225;32006D10-
18;101273;45742;182639;32006B081
30;108320;52110;198606;32010A032
34;93127;56571;192160;32011A052
2;108348;51424;201961;32010A21-
17;89143;43391;188724;32003F091
57;108322;52329;198607;32010A001
15;108408;52239;198765;32010A032
7;93187;56541;193128;32011A03-
157;89387;46590;191828;32003A12-
7;89252;44492;192808;32003A001
86;108364;49844;198520;32010A10-
19;89282;44155;192232;32003A03-
100;89366;44531;192019;32003A021
68;93074;56763;192661;32011A052
16;101306;47033;187083;32006C082
21;89360;39598;196981;32003M00-
3;108361;53587;200595;32010A0PA
140;93083;54556;189900;32011B082
2;93203;53305;191949;32011B091
3;108439;50206;198709;32010A10-
15;89368;47876;191352;32003A11-
95;101326;47227;185768;32006C10-
48;93121;54868;190967;32011B01-
11;93176;51772;189703;32011D01-
108;93111;55685;191788;32011A013
18;93174;54497;191740;32011B00-
2;108333;51816;200600;32010A0PA
34;93201;58066;189277;32011A08-
12;108320;52210;198634;32010A032
72;93128;53192;194085;32011C09-
5;89225;45135;192281;32003A01-
23;101344;43184;184078;32006B00-
11;101269;44132;183009;32006B00-
5;93133;56912;191650;32011A001
61;89312;44886;192026;32003A021
33;101238;43755;183790;32006B00-
46;89267;40076;197410;32003M00-
23;89341;44457;188371;32003F091
11;89289;44517;192738;32003A001
80;93197;57191;192287;32011A052
26;101866;38408;184467;32030C182
2;101861;34194;187043;32030B09-
7;101286;50944;186827;32006A022
40;101252;49804;186546;32006A01-
23;89379;44700;191292;32003A312
28;89190;48026;194086;32003E00-
91;93103;57274;190614;32011A02-
54;108384;52975;198143;32010A010
2;93069;57321;190496;32011A02-
10;93195;57603;191814;32011A110
56;89305;47518;191606;32003A11-
175;89387;46711;191844;32003A12-
25;101361;47596;187855;32006D00-
3;108399;51243;194553;32010B091
10;93136;54683;191609;32011B00-
3;93137;54216;191569;32011B00-
20;101277;47732;187977;32006D00-
68;108445;52044;198827;32010A0MA
14;93194;56648;191692;32011A052
7;89236;44762;191263;32003A312
34;93096;58193;191130;32011A10-
30;93089;52419;188049;32011D091
8;101879;34999;185698;32030B00-
1;93059;55978;193304;32011A03-
175;89416;46257;198716;32003C08-
28;89244;44489;192472;32003A001
1;89158;48285;198396;32003E09-
114;108414;51815;198424;32010A020
90;93120;51560;190142;32011D00-
9;101271;47951;188480;32006D00-
24;108332;52521;198383;32010A032
5;89160;41604;198225;32003N09-
71;89159;43260;195417;32003A29-
6;101826;38419;180237;32030C09-
73;93137;54484;193083;32011A091
