house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
25;91754;96269;169578;45035A50-
37;110779;107697;169455;45059E00-
27;91760;96201;170531;45035A001
18;97383;95465;160303;45041A051
33;110793;106249;166031;45059A29-
15;110860;109080;160815;45059G09-
41;117516;87367;162526;45060A00-
268;97469;94216;159284;45041A400
38;97461;95775;160077;45041A00-
29;91583;98227;170054;45035A30-
19;110920;109075;162413;45059G09-
71;97391;95232;160833;45041A60-
558;97210;96580;159306;45041A312
48;91639;99608;174021;45035C00-
18;91647;97504;170883;45035A212
143;102231;102922;173826;45065L011
43;97210;96541;159113;45041A312
7;114879;95318;165377;45064B00-
16;108113;93939;175606;45017C08-
57;91610;98280;171177;45035A212
25;97452;97612;160091;45041A101
28;112982;89929;168420;45061D080
26;117447;91264;166334;45060B010
8;103815;95174;176767;45057C00-
40;112997;89724;169583;45061D112
13;97462;97867;161025;45041A712
28;112943;91789;174246;45061C891
46;117556;113185;168070;45063A00-
27;103861;95583;177003;45057C00-
26;91733;98490;172145;45035A201
33;102221;104948;173792;45065A09-
121;117412;87763;162348;45060A010
100;111056;108769;163259;45059G09-
51;111048;107368;166631;45059A20-
104;108890;89981;177128;45017A022
6;117528;112710;164147;45063C00-
156;91792;97066;174461;45035A732
19;108103;92763;175866;45017C00-
1;102268;106059;172659;45065H09-
38;117571;113319;164299;45063C00-
14;115148;98807;167634;45064C09-
62;97247;97426;159850;45041A101
35;102207;103860;176283;45065B002
12;102252;103421;174918;45065C09-
24;102281;102774;173710;45065L011
9;108114;94383;175642;45017C08-
13;117527;112714;167701;45063A09-
18;117163;113985;166672;45063B00-
278;97383;94970;160962;45041A60-
4;103858;99636;176698;45057A01-
123;102225;105363;173754;45065A01-
18;97449;97560;161071;45041A70-
95;114835;101100;165643;45064D00-
131;103869;98506;177908;45057A020
181;97263;96702;158981;45041A321
16;112959;92463;169422;45061A00-
26;117533;112624;164499;45063C099
73;97409;98358;158120;45041A392
15;97429;97180;159738;45041A12-
86;113018;92335;174620;45061C891
10;91616;96153;170804;45035A001
53;91714;95732;168776;45035A51-
58;114866;95051;164291;45064B09-
53;97391;95245;160789;45041A60-
106;91715;95146;171594;45035A61-
196;97371;95602;161463;45041A69-
26;91561;96423;171363;45035A011
6;117473;87602;162751;45060A00-
9;108883;90667;177155;45017A001
4;114811;102794;166168;45064D09-
24;110903;106551;164524;45059B09-
18;112969;91046;168763;45061D000
52;91630;95477;171227;45035A601
24;108833;91001;178767;45017A01-
11;117552;112592;164791;45063C099
35;97290;95434;159195;45041A03-
38;110880;107233;165859;45059A00-
31;91593;96086;171465;45035A011
48;117554;112747;164332;45063C00-
30;102252;103349;174787;45065C09-
262;108832;94057;179169;45017B082
31;117527;112289;167636;45063A18-
6;97463;94255;159016;45041A49-
63;117208;110005;165648;45063D01-
4;113026;92409;173556;45061C800
8;91708;98473;171673;45035A201
52;91717;95941;173770;45035A790
20;91670;93878;167070;45035E00-
44;110786;107699;166007;45059A00-
43;111038;107033;166297;45059A20-
71;111035;107552;166517;45059A20-
61;110941;107183;165449;45059A01-
19;110992;107165;167218;45059A212
66;97317;96061;161217;45041A61-
2;115180;98246;166578;45064A08-
85;110947;108253;165593;45059A191
189;91636;99235;174283;45035C00-
1;110855;106861;165777;45059A29-
232;97354;97231;159540;45041A12-
139;97473;96433;159651;45041A02-
68;103830;100082;176243;45057A01-
19;112930;92926;169502;45061A00-
21;113000;92339;170000;45061A01-
8;110852;106652;167293;45059A212
3;97397;95625;160845;45041A60-
8;102248;105244;174967;45065A08-
21;117453;92309;163329;45060C09-
46;117548;113744;164987;45063C19-
2;91561;96333;171237;45035A011
2;112943;92396;173658;45061C800
68;113018;92727;174263;45061C800
59;97284;96836;159802;45041A12-
252;91674;94457;170978;45035A61-
1;102247;106416;174682;45065A08-
15;110497;102300;171208;45062A02-
2;111027;107843;167336;45059E191
22;115107;99491;168039;45064C09-
40;91837;96592;172515;45035A711
13;117447;90798;166078;45060B010
13;97212;94576;161571;45041A69-
55;117509;90272;164830;45060B02-
36;110891;106713;165904;45059A29-
45;91692;95501;171645;45035A601
2;91841;96564;169836;45035A410
8;97280;95643;160157;45041A00-
102;103796;96012;178957;45057B012
2;108816;93723;179058;45017B011
24;91900;96727;175719;45035F091
4;91890;95152;168654;45035E1PA
47;111021;106633;169331;45059E09-
6;97360;96329;159496;45041A30-
5;91552;98071;171995;45035A201
11;117560;112897;163837;45063C00-
21;91892;95666;168515;45035E1PA
113;103869;98854;177950;45057A020
15;108817;90856;177658;45017A001
2;97347;96076;158622;45041A340
28;97441;95347;161164;45041A61-
60;108892;90517;175142;45017D09-
100;91684;94763;171827;45035A620
12;113028;93340;168556;45061A091
3;117200;109718;166952;45063D090
4;113006;91585;168357;45061D000
296;97383;94959;160980;45041A60-
6;97379;98115;160840;45041A712
29;103812;97236;179635;45057B09-
19;110950;107623;163189;45059G00-
110;97216;95648;158812;45041A350
59;102266;105061;171423;45065K00-
95;97459;97851;160314;45041A123
110;97214;97508;161429;45041A70-
20;108920;93551;179419;45017B011
38;97457;96209;159126;45041A30-
28;112942;92658;169341;45061A00-
27;91529;97708;173624;45035A732
8;102219;104211;170198;45065K01-
108;91622;98579;171648;45035A201
26;97343;99218;161973;45041A791
168;91539;94077;167877;45035E1PA
45;117208;110061;165769;45063D01-
32;91688;95520;167225;45035E192
2;114896;95324;165706;45064B00-
2;114855;95189;163525;45064B09-
3;117564;114239;165064;45063C10-
1;117545;113304;167663;45063A00-
7;109866;109283;164251;45059F00-
222;97210;96749;159186;45041A312
44;97247;97543;159938;45041A101
3;108835;91015;176917;45017A001
21;91757;97112;173436;45035A701
23;108926;91485;178879;45017A01-
23;103865;96208;178110;45057B001
4;114861;95256;164635;45064B01-
16;108858;90568;181695;45017A591
4;110490;102669;171344;45062A02-
10;114881;95395;162614;45064B09-
5;113037;93117;171428;45061C002
4;110833;105585;164559;45059B080
26;91681;95601;175732;45035F091
56;110808;107232;166255;45059A20-
39;91825;100084;169188;45035D19-
85;117477;89031;164468;45060B001
6;110937;105718;169491;45059D00-
215;97371;95731;161662;45041A69-
203;97482;94239;160674;45041A51-
9;97221;94507;159419;45041A400
10;110925;107865;166385;45059A00-
18;91944;99413;174075;45035C00-
83;97407;95184;160529;45041A051
70;91627;98794;173027;45035A110
45;117164;114928;166208;45063B09-
36;110502;103010;167501;45062B09-
62;110500;103206;171163;45062A09-
112;117404;91781;166311;45060B09-
7;111045;108144;162748;45059G00-
82;91684;95005;171759;45035A620
5;108087;87217;175979;45017D08-
36;91647;97592;170819;45035A212
71;103859;99544;177457;45057A000
47;97269;96354;160161;45041A011
6;91898;101118;168777;45035D19-
137;117447;91958;166786;45060B010
45;91640;97108;170403;45035A410
6;117449;87532;162153;45060A010
133;97430;95205;160631;45041A051
47;97421;95856;158881;45041A350
38;91779;97811;175661;45035B09-
147;117516;87792;162990;45060A00-
17;110499;102632;169607;45062B00-
58;97480;95655;159207;45041A30-
7;108851;88964;176396;45017A19-
523;97202;98740;160573;45041A723
53;97304;96862;159482;45041A12-
50;91792;97249;173680;45035A701
21;102202;106500;171559;45065J00-
12;103835;95184;176916;45057C00-
159;97197;94040;159402;45041A400
30;117540;113432;168990;45063A08-
119;117447;91739;166614;45060B010
38;117493;87566;161403;45060A033
145;103798;95752;178226;45057B001
29;97384;94996;160837;45041A60-
63;108085;87516;175492;45017D08-
36;97381;96455;160732;45041A61-
18;110502;103006;167730;45062B09-
2;117557;112146;163917;45063C00-
82;91586;96537;171972;45035A022
150;91874;97296;173441;45035A701
101;97407;95170;160571;45041A051
95;91572;95649;171422;45035A601
46;117482;93756;163791;45060D00-
1;97408;95877;159807;45041A00-
96;97440;96432;160887;45041A61-
11;111061;108789;168141;45059E191
1;91508;98845;171116;45035D08-
5;115115;96975;168250;45064A09-
14;91530;98193;173665;45035A101
451;97210;96774;159268;45041A312
85;117412;87943;162416;45060A010
2;103875;99633;177013;45057A000
22;102195;104545;170238;45065K01-
50;97194;96171;159787;45041A02-
7;110784;107078;165454;45059A01-
253;97475;97067;159129;45041A12-
22;91648;100736;169766;45035D09-
24;117566;113701;168214;45063A01-
251;91803;96583;172781;45035A711
92;97216;95646;158855;45041A350
8;97260;96646;158964;45041A321
3;117448;94119;163611;45060D091
98;110973;105317;163393;45059B010
30;97269;96376;160206;45041A011
6;113024;91641;172978;45061C891
145;97263;96578;159006;45041A321
99;103798;96050;178158;45057B001
1;97304;96858;159358;45041A12-
