house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
424;130398;129244;202581;42023A063
2;142718;124847;190283;42003A022
223;127935;125055;194080;42028A222
8;139906;133736;188678;42011A312
89;139767;132690;187109;42011A030
69;114410;131389;193497;42006D042
2;139878;134618;187086;42011A112
6;133261;119508;188832;42026C012
17;114656;125554;187864;42006H08-
2;133263;120809;187343;42026C100
41;114552;125101;187437;42006H09-
96;139843;134221;187938;42011A10-
19;128033;126772;195668;42028A001
43;114440;131043;190839;42006A02-
34;122731;116479;185487;42025B022
47;142609;124617;191116;42003A08-
26;135470;118485;194562;42010B23-
8;122724;114729;189815;42025A21-
20;114730;135961;191102;42006E303
28;135485;118413;194671;42010B23-
4;119969;133132;198858;42008A501
58;135424;114787;191259;42010A042
20;135455;112528;191299;42010A02-
57;133317;119933;188423;42026C082
105;128088;126322;194829;42028A412
14;130372;130379;200967;42023A41-
9;114400;131006;190885;42006A02-
77;139908;134289;188488;42011A19-
33;128023;126601;195436;42028A031
200;119836;135066;198700;42008A052
38;119813;135034;195061;42008B001
39;114495;132312;191111;42006C2AJ
47;133268;122072;187744;42026A19-
89;114624;133278;193146;42006E102
40;114692;131095;193024;42006D032
87;114580;130757;191296;42006A032
85;127950;126262;194781;42028A412
91;119887;133104;196924;42008A40-
57;119807;136040;192855;42008B101
2;130506;130095;200035;42023A001
44;142558;124463;189947;42003A022
118;114397;135829;191768;42006E001
58;114567;132064;190092;42006C042
19;120016;133843;197639;42008A02-
57;120006;134570;197746;42008A314
12;119932;135598;193409;42008B112
15;114373;128574;190761;42006B00-
147;139832;134335;189440;42011A19-
10;133295;121148;186796;42026B19-
76;114460;128156;188420;42006F001
92;133251;122426;188469;42026A00-
82;122827;115570;188949;42025A201
16;122809;114373;184448;42025C00-
31;142599;124505;190238;42003A022
93;129756;137649;189617;42004A033
48;114544;128367;188391;42006F032
7;135558;112309;191332;42010A02-
37;139880;132814;187364;42011A030
186;122649;117324;186605;42025A40-
13;129799;139603;190715;42004A20-
4;139897;131299;185515;42011B00-
26;133207;119006;188571;42026C012
31;122629;117809;189440;42025A050
32;114724;130195;191733;42006A20-
6;122756;116005;188317;42025A812
62;129727;137863;188765;42004A033
218;129831;139087;186782;42004A0PA
153;135487;116405;190867;42010B199
21;133203;121948;188381;42026A00-
26;142641;121623;193617;42003C022
18;133249;119214;186240;42026B09-
116;114780;130258;191801;42006A20-
339;122847;116590;185592;42025B022
7;122767;115823;188714;42025A80-
133;114590;129718;191893;42006A212
