house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
11;23335;68805;157420;54007B29-
1;27465;74836;152532;57027D012
9;23128;68927;157318;54007B29-
13;27465;74730;152465;57027D012
3;23284;68916;157366;54007B29-
14;27465;74721;152482;57027D012
2;31079;78675;153324;57062C100
5;23284;68919;157375;54007B29-
15;27465;74717;152499;57027D012
12;12908;95115;143998;57094A39-
12;12900;95001;142064;57094A299
4;27465;74815;152495;57027D012
268;23221;66550;160017;54007A601
3;39885;53601;162926;54010A022
21;39885;53651;162869;54010A022
22;23221;66443;160580;54007A601
1;23168;70026;159687;54007B00-
26;23232;69975;159334;54007B00-
183;23173;68029;160026;54007A032
2;23221;66433;160590;54007A601
22;40062;45707;155994;54010E10-
27;23231;66906;157929;54007A201
25;23231;66932;157922;54007A201
11;40088;45166;156436;54010E10-
109;40677;44894;158951;54010E000
9;23183;67367;159629;54007A301
232;39889;54575;163708;54010A019
212;39889;54513;163666;54010A019
61;39853;53472;162910;54010A022
54;39853;53489;162850;54010A009
45;39853;53520;162847;54010A022
40;39853;53528;162807;54010A009
38;39853;53531;162801;54010A009
215;23173;67917;159982;54007A032
53;25834;74639;158319;54007D000
21;25834;74733;158217;54007D000
13;25834;74747;158199;54007D000
1;39900;53232;163928;54010A212
60;41095;48907;160457;54010D010
192;41095;48610;159967;54010D010
8;41119;49857;161132;54010D00-
45;41048;49408;160921;54010D00-
36;41048;49410;160972;54010D00-
10;41048;49558;161069;54010D00-
8;39556;50955;165042;54010C00-
63;39556;50778;165493;54010C02-
38;31151;80728;143715;57081A032
70;41096;51416;161484;54010B08-
6;41079;49685;161076;54010D00-
4;41079;49675;161065;54010D00-
2;41079;49665;161053;54010D00-
9;12892;96727;142329;57094A03-
7;12892;96748;142327;57094A03-
7;32534;87857;160955;57095D01-
4;13015;101622;142050;57094E00-
38;12895;97730;143534;57094A01-
48;12880;96686;143306;57094A00-
4;12880;96816;143384;57094A00-
30;32539;86367;161469;57095D0PN
5;12925;96820;143448;57094A00-
18;12925;96774;143487;57094A00-
33;13009;100235;144396;57094C01-
4;12919;96766;143080;57094A03-
6;12968;97005;143817;57094A410
32;13004;101845;145658;57094C0PN
32;12881;97244;142992;57094A021
5;13207;94150;141731;57094H00-
15;13026;99505;144903;57094C000
6;13190;94300;141737;57094H00-
23;13190;94482;141609;57094H01-
7;32527;89620;161003;57095A091
51;12966;97140;143214;57094A00-
17;32580;90726;160591;57095B00-
30;12880;96727;143325;57094A00-
27;12880;96761;143365;57094A00-
107;12881;97069;142819;57094A021
5;32504;89159;159684;57095A00-
2;12965;96689;143274;57094A03-
7;12928;96830;143319;57094A00-
25;12966;96981;143197;57094A00-
14;12966;96982;143216;57094A00-
21;13009;100061;144325;57094C01-
21;13008;102074;142027;57094E00-
30;13210;94049;141400;57094H00-
1;12950;97271;143125;57094A00-
2;12913;96920;143686;57094A410
7;12956;96834;143258;57094A03-
48;12956;96840;143093;57094A021
47;12956;96807;143080;57094A03-
3;12956;96836;143275;57094A03-
23;12956;96834;143188;57094A03-
21;12956;96829;143203;57094A03-
13;12880;96801;143397;57094A00-
9;12950;97298;143130;57094A00-
26;12950;97390;143179;57094A01-
25;12950;97391;143161;57094A01-
11;12938;96724;143412;57094A00-
93;12880;96535;143298;57094A00-
87;12880;96571;143305;57094A00-
81;12880;96589;143310;57094A00-
8;12880;96806;143375;57094A00-
113;12975;96890;141709;57094A112
2;30620;83122;136746;57093H00-
